text,emotion
I did some routine maintenance on my laptop today.,neutral
Everything is going so well in my life right now,happy
I updated my to do list and prioritized the main tasks.,neutral
the sun is shining and i feel absolutely wonderful today.,happy
"I love her laugh, her eyes, her heart, everything about her.",romantic
"i got a raise today, my boss said i am doing great work.",happy
My best friend surprised me with a birthday party today.,happy
i did some routine maintenance on my laptop today.,neutral
i love him more than words could ever express.,romantic
The loneliness is unbearable some nights,sad
I can't stop worrying about all the things that could go wrong,stressed
I have never felt this way about anyone before.,romantic
My parents told me they are proud of me and it meant everything.,happy
I feel intense rage every time I think about what happened.,angry
"I love her laugh, her eyes, her heart, everything about her",romantic
my childhood home was sold and i feel a deep sense of loss.,sad
Nobody showed up to my event and I felt completely humiliated,sad
"The weekend was so fun and relaxing, I feel recharged",happy
I feel like I am drowning in responsibilities right now.,stressed
I have too much to do and not nearly enough time,stressed
i cannot forgive that level of disrespect and i won't try to.,angry
I feel so cherished and adored by this wonderful person,romantic
i sorted through my mail and discarded the junk.,neutral
i backed up my files before shutting down the computer.,neutral
The audacity of that person makes me absolutely furious.,angry
I feel completely alone even when I am surrounded by people,sad
He is my best friend and the love of my life all in one,romantic
I replied to the email and attached the required document.,neutral
I have never been this furious in my entire life,angry
I want to hold her hand and never let go.,romantic
i broke down crying from the pressure at work today.,stressed
I called my friend to confirm plans for the weekend.,neutral
I tried my best but it still wasn't good enough.,sad
my to do list is endless and i feel utterly helpless.,stressed
The pressure is suffocating and I don't see a way out.,stressed
I want to spend the rest of my life next to this person,romantic
We got engaged last night and I still can't stop smiling,happy
"i finally paid off my student loan, feels like freedom!",happy
I have been putting out fires all day and I am exhausted,stressed
i just adopted a puppy and he is the cutest thing ever.,happy
I have been working eighteen hour days and I am falling apart.,stressed
I aced my driving test on the very first try,happy
i called my friend to confirm plans for the weekend.,neutral
I made a shopping list and went to the supermarket.,neutral
my team lost the final and after all our effort it breaks my heart.,sad
I finally finished my project and it turned out amazing,happy
I have been feeling deeply sad for weeks and can't shake it,sad
That was the most infuriating meeting I have ever sat through.,angry
This injustice makes my blood boil,angry
Being loved by him is the greatest gift I have ever received,romantic
Today I realized how truly blessed and grateful I am.,happy
i have so many deadlines and i don't know where to start.,stressed
I am so angry I am shaking and I can't stop.,angry
She understands me in a way no one else ever has.,romantic
I just got promoted at work and I couldn't be happier!,happy
I feel like I am on the edge and one more thing will break me,stressed
i keep waking up at 3am thinking about everything i need to do.,stressed
My childhood home was sold and I feel a deep sense of loss.,sad
i am sick and tired of being ignored and walked over.,angry
This love we have is rare and I treasure it every single day,romantic
i set a reminder for the appointment next week.,neutral
The weather today is mild with some clouds in the sky,neutral
"I had a regular Tuesday, nothing out of the ordinary",neutral
The day passed by without anything particularly notable,neutral
I am so fed up with being treated like I don't matter.,angry
Our first dance felt like the whole world disappeared.,romantic
"i laughed so hard today my stomach hurts, best feeling ever.",happy
I am so stressed I can feel it in my shoulders and neck,stressed
The silence in this house is deafening since they left.,sad
i feel so tense and anxious about everything right now.,stressed
The library was quiet and I found the books I needed.,neutral
My team won the championship and we celebrated all night.,happy
i completed my tasks for the day and logged off on time.,neutral
I lost my job and I feel so lost and hopeless right now.,sad
How could they do this and act like nothing is wrong,angry
i picked up a package from the post office this afternoon.,neutral
the day passed by without anything particularly notable.,neutral
I made a shopping list and went to the supermarket,neutral
he makes me feel like i am the only person in the world.,romantic
i checked my emails and responded to a few messages.,neutral
I reviewed my notes from the lecture earlier today,neutral
i am so in love it feels like my heart might burst.,romantic
My friends threw me a surprise party and I was genuinely shocked,happy
The day passed by without anything particularly notable.,neutral
"I got a raise today, my boss said I am doing great work.",happy
i can't stop worrying about all the things that could go wrong.,stressed
"I miss my mom so much, she would have known what to say",sad
I broke down crying from the pressure at work today,stressed
I have been stressed for so long I forgot what calm feels like.,stressed
she looked at me and in that moment i knew i was home.,romantic
i can't believe how selfish and cruel some people can be.,angry
that was a deliberate act of disrespect and i won't stand for it.,angry
My best friend surprised me with a birthday party today,happy
I am completely and utterly head over heels in love.,romantic
i replied to the email and attached the required document.,neutral
he remembers every small thing i say and it makes me love him more.,romantic
i had oatmeal for breakfast and then headed to work.,neutral
He is the calm in every storm I face.,romantic
I failed my exam after studying so hard for weeks.,sad
"my favorite band announced a concert in my city, so excited!",happy
I feel incredibly happy and thankful for this beautiful life.,happy
My parents told me they are proud of me and it meant everything,happy
I feel completely overwhelmed by everything on my plate,stressed
I have three big presentations due this week and I am panicking,stressed
My hard work finally got noticed and I feel so validated,happy
The report was reviewed and no major changes were needed.,neutral
The library was quiet and I found the books I needed,neutral
this whole thing is corrupt and i am absolutely outraged.,angry
"I feel so pressured and overwhelmed, I just want it to stop",stressed
they disrespected my hard work and i am absolutely fuming.,angry
i am completely drained from stress and need this to end.,stressed
I gave everything and still ended up with nothing,sad
My workload is completely unsustainable and I am at my limit,stressed
I set a reminder for the appointment next week,neutral
I finished the report and submitted it before the deadline.,neutral
nobody showed up to my event and i felt completely humiliated.,sad
i set my alarm and went to bed at a reasonable hour.,neutral
My friend group drifted apart and I didn't realize until it was too late,sad
i feel incredibly happy and thankful for this beautiful life.,happy
I am so anxious about tomorrow I can barely breathe.,stressed
i am falling harder for them with every single passing day.,romantic
I am so angry at the unfairness of this whole situation,angry
"Every time I finish one task, three more appear",stressed
I am completely and utterly head over heels in love,romantic
Nobody remembered my birthday this year and it really hurt,sad
That was a deliberate act of disrespect and I won't stand for it.,angry
He is the calm in every storm I face,romantic
"i feel overwhelmed, anxious and completely out of control.",stressed
nobody remembered my birthday this year and it really hurt.,sad
I woke up feeling refreshed and full of energy this morning,happy
the tears just won't stop coming tonight.,sad
i cannot stand how they keep getting away with everything.,angry
"I am beyond angry, this is a matter of basic decency.",angry
I organized my bookshelf and found the book I was looking for,neutral
the loneliness is unbearable some nights.,sad
My team won the championship and we celebrated all night,happy
I sorted through my mail and discarded the junk.,neutral
"They lied, manipulated and I trusted them, never again.",angry
She laughed today and I thought I could listen forever,romantic
i cried myself to sleep again last night.,sad
i feel like i need a week of sleep just to feel normal again.,stressed
the thought of loving someone this much used to scare me.,romantic
I have never felt this way about anyone before,romantic
"i keep waking up and forgetting for a second, then remembering.",sad
the audacity of that person makes me absolutely furious.,angry
"I feel constantly anxious and tense, I can't seem to relax.",stressed
The loneliness is unbearable some nights.,sad
i attended the weekly team meeting and shared my update.,neutral
i would choose him in every lifetime without hesitation.,romantic
"i feel constantly anxious and tense, i can't seem to relax.",stressed
I found an old photo and burst into tears remembering that time.,sad
I walked to the office today since the weather was fine,neutral
He remembers every small thing I say and it makes me love him more.,romantic
"I got a raise today, my boss said I am doing great work",happy
I love him more than words could ever express,romantic
I am so in love it feels like my heart might burst,romantic
I updated my to do list and prioritized the main tasks,neutral
I feel like I am grieving something I can't even name,sad
i feel butterflies every single time i hear her name.,romantic
my dog passed away today and my heart is completely broken.,sad
She betrayed my trust and I am seething with anger,angry
That was the most infuriating meeting I have ever sat through,angry
I watched an old video and realized how much I miss those days.,sad
I am absolutely disgusted by their behavior,angry
i am deeply in love and my heart feels completely full.,romantic
I have too much to do and not nearly enough time.,stressed
i made a shopping list and went to the supermarket.,neutral
I went to the pharmacy to pick up some medicine,neutral
I won first place in the competition after months of practice,happy
I took the usual route home and got back on time,neutral
"I just booked my dream vacation, I am so thrilled",happy
i feel like i am mourning something that isn't even gone yet.,sad
I organized my bookshelf and found the book I was looking for.,neutral
I watched an old video and realized how much I miss those days,sad
She understands me in a way no one else ever has,romantic
"I just found out I am going to be a parent, over the moon!",happy
I just adopted a puppy and he is the cutest thing ever,happy
I want to grow old laughing with this amazing person,romantic
There is a sadness in me that feels permanent now.,sad
I can't concentrate on anything because anxiety is taking over,stressed
this injustice makes my blood boil.,angry
Holding his hand still feels like the first time every time.,romantic
She makes me want to be a better version of myself.,romantic
I am absolutely furious at how unfair this situation is.,angry
I feel like I am running a race with no finish line,stressed
"i just booked my dream vacation, i am so thrilled!",happy
"I am so angry right now, I need to punch something",angry
My dog learned a new trick today and I am so proud,happy
I have been staring at this screen for twelve hours straight,stressed
I broke down crying from the pressure at work today.,stressed
I would choose him in every lifetime without hesitation,romantic
I feel so grateful for the wonderful people in my life.,happy
i updated my calendar and scheduled a few appointments.,neutral
my friend group drifted apart and i didn't realize until it was too late.,sad
I feel butterflies every single time I hear her name.,romantic
he lied to my face and i cannot forgive that.,angry
I am furious and I have every right to be this angry,angry
I got the job offer I have been waiting for all month,happy
The audacity of that person makes me absolutely furious,angry
i just got back from the most fun road trip with friends.,happy
i watered my plants and opened the window for fresh air.,neutral
They disrespected my hard work and I am absolutely fuming.,angry
I returned the library books that were due today.,neutral
my relationship ended today and i don't know how to cope.,sad
I feel like I am invisible and nobody really cares.,sad
I printed the documents needed for tomorrow's meeting,neutral
I am livid and I want answers right now.,angry
i had a light salad for lunch and then resumed work.,neutral
i love her in a way that is quiet and deep and endless.,romantic
I miss the way things used to be before everything changed.,sad
I finished the report and submitted it before the deadline,neutral
I transferred some files to the new computer today.,neutral
"I got accepted into my dream university, I can't believe it!",happy
i had lunch at my desk and continued working after.,neutral
i feel so hopeless and i don't know where to turn.,sad
He makes me feel like I am the only person in the world.,romantic
I am so stressed I can feel it in my shoulders and neck.,stressed
I cried myself to sleep again last night,sad
I am completely outraged and I will not be silent anymore,angry
I completed the online form and submitted it successfully,neutral
she is the reason i believe in love again.,romantic
Being with her feels like coming home after a long journey,romantic
I am so grateful every single day that I found this person,romantic
My grandmother passed away last night and I miss her so much,sad
i am so stressed that small things are making me snap.,stressed
Everything I worked hard for is finally paying off.,happy
He is the first person I want to tell everything to.,romantic
My heart is racing and I can't seem to calm down,stressed
i tried my best but it still wasn't good enough.,sad
I lost my job and I feel so lost and hopeless right now,sad
I just got back from the most fun road trip with friends,happy
I just got amazing news and I can barely contain my excitement.,happy
I cooked a perfect meal from scratch for the first time.,happy
i have never been this furious in my entire life.,angry
I am falling harder for them with every single passing day.,romantic
Today I realized how truly blessed and grateful I am,happy
i have been stressed for so long i forgot what calm feels like.,stressed
I completed my tasks for the day and logged off on time.,neutral
i want to hold her hand and never let go.,romantic
everything i worked hard for is finally paying off.,happy
I checked my emails and responded to a few messages.,neutral
"i just found out i am going to be a parent, over the moon!",happy
i feel like i am stuck in a sadness i can't get out of.,sad
i found an old photo and burst into tears remembering that time.,sad
My heart is broken in a way that doesn't seem like it will heal,sad
I went to bed at the usual time last night.,neutral
"My sister just had a baby and I am an aunt now, so happy!",happy
i cooked a perfect meal from scratch for the first time.,happy
i have never felt this way about anyone before.,romantic
